Importers	2017-Exported quantity, Tons	2018-Exported quantity, Tons	2019-Exported quantity, Tons	2020-Exported quantity, Tons	2021-Exported quantity, Tons	
"World"	2753	3215	2818	2355	3310	
"Ireland"	947	836	858	643	919	
"France"	646	760	585	272	365	
"Germany"	206	210	294	368	329	
"Canada"	98	79	142	84	283	
"United Kingdom"	88	61	127	131	187	
"Brazil"	53	132	71	84	149	
"Japan"	147	136	97	112	142	
"Luxembourg"				40	131	
"India"	51	50	49	41	125	
"Tunisia"	12		37	89	124	
"China"	55	59	130	69	117	
"Korea, Republic of"	70	60	46	73	88	
"Taipei, Chinese"	46	234	56	36	72	
"Netherlands"	31	223	66	102	65	
"Belgium"	109	110	48	45	48	
"Singapore"	35	85	69	33	40	
"Switzerland"	20	3	13	30	25	
"Turkey"	19	25	36	27	25	
"Mexico"	3	8	6	10	22	
"Saudi Arabia"	3	5	7	6	9	
"Italy"	16	10	8	22	7	
"Slovakia"					6	
"United Arab Emirates"	16	4	2	2	6	
"Argentina"	11	20	8	3	4	
"Indonesia"	8	11	3	3	4	
"Malaysia"	3	6	7	3	3	
"Chile"	0	4	0	1	2	
"Hungary"	1	1	3	4	2	
"South Africa"	5	6	5	1	2	
"Australia"	24	0	0	1	1	
"Finland"	1	23	4		1	
"Hong Kong, China"	21	4	8	6	1	
"Israel"	1	5	2	1	1	
"Qatar"		0	0	0	1	
"Viet Nam"	0	32	23	0	1	
"Slovenia"	0	1	0	2	1	
"Thailand"	1	2	1	1	1	
"Ukraine"	0	0	0	0	0	
"Algeria"					0	
"Austria"					0	
"Bulgaria"	0	0	0	0	0	
"Costa Rica"	0	0			0	
"Greece"	0	0	0	0	0	
"Jordan"	0	0	0	0	0	
"Madagascar"	0	0	1	0	0	
"Oman"			0		0	
"New Zealand"		0	0		0	
"Norway"					0	
"Poland"	1	0	2	0	0	
"Romania"	0	0	0	0	0	
"Russian Federation"		1	1	7	0	
"Spain"	2	2	0	0	0	
"Albania"	0	0				
"Bolivia, Plurinational State of"	0	0				
"Myanmar"				0		
"Belarus"			0			
"Colombia"			0	0		
"Czech Republic"	1	2				
"Denmark"			0	2		
"Dominican Republic"		4				
"Ecuador"	0			0		
"Estonia"	0		0			
"Iraq"		0	0	0		
"Lebanon"			0			
"Lithuania"	0	0	0	0		
"Pakistan"		0				
"Philippines"	1	0	1	0		
"Sweden"	1	2	0			
"Macedonia, North"	0					
