Importers	2017-Exported quantity, Tons	2018-Exported quantity, Tons	2019-Exported quantity, Tons	2020-Exported quantity, Tons	2021-Exported quantity, Tons	
"World"	856	864	964	638	1029	
"United Kingdom"	321	338	368	108	363	
"Netherlands"	14	47	51	29	111	
"Austria"	63	101	113	88	99	
"Slovakia"	13	11	24	79	67	
"Italy"	66	67	72	63	62	
"France"	56	50	41	38	44	
"Switzerland"	39	46	54	48	44	
"United States of America"	47	17	33	30	39	
"China"	60	47	55	29	37	
"Japan"	12	10	12	10	20	
"Turkey"	10	9	19	13	18	
"Spain"	17	18	20	14	15	
"Malaysia"	8	7	12	14	12	
"Belgium"	3	3	3	3	10	
"India"	4	4	7	4	10	
"Korea, Republic of"	11	4	5	6	9	
"Russian Federation"	3	4	4	6	6	
"Sweden"	4	5	6	4	6	
"Argentina"	2	1	0	3	4	
"Poland"	5	4	5	5	4	
"Singapore"	0	0	1	2	4	
"Brazil"	26	12	4	2	3	
"Hong Kong, China"	8	5	6	3	3	
"Hungary"	5	6	6	4	3	
"Mexico"	1	2	2	1	3	
"Romania"	2	2	2	2	3	
"Slovenia"	5	2	2	2	3	
"Thailand"	1	1	0	1	3	
"Bosnia and Herzegovina"	0	0	2	2	2	
"Canada"	4	10	6	3	2	
"Czech Republic"	3	3	2	2	2	
"Lithuania"	0	1	3	2	2	
"Ukraine"	2	1	1	1	1	
"Australia"	2	2	0	1	1	
"Bulgaria"	7	1	0	2	1	
"Belarus"	1	1	1	1	1	
"Colombia"	1	0	0	0	1	
"Croatia"	1	1	2	0	1	
"Finland"	6	4	1	0	1	
"Ghana"	0	1	0	0	1	
"Greece"	1	1	1	1	1	
"Luxembourg"	1	2	1	1	1	
"Taipei, Chinese"	2	2	2	4	1	
"Norway"	2	1	1	2	1	
"Pakistan"	1	0	0	0	1	
"Portugal"	3	3	5	1	1	
"Senegal"			0	0	1	
"South Africa"	1	1	1	1	1	
"Turkmenistan"			0		0	
"Albania"	0	1	0	0	0	
"Algeria"	0	0	0	0	0	
"Angola"	0			0	0	
"Azerbaijan"	0	0	0	0	0	
"Armenia"	0	0	0	0	0	
"Chile"	1	0	0	0	0	
"Costa Rica"	0	0	0	0	0	
"Cyprus"	0	0	0		0	
"Denmark"	1	2	1	0	0	
"Dominican Republic"	0	0	0	0	0	
"Ecuador"	0	0	0	0	0	
"El Salvador"	0	0	0	0	0	
"Estonia"	0	0	1	0	0	
"Georgia"	0	0	0	0	0	
"Honduras"	0	0	0	0	0	
"Indonesia"	0	0	0	0	0	
"Iran, Islamic Republic of"	0	0		0	0	
"Iraq"		0		0	0	
"Ireland"	1	0	0	0	0	
"Israel"	1	0	0	0	0	
"Kazakhstan"	0	0	0	0	0	
"Jordan"	0	0	0	0	0	
"Kenya"	0	0	0		0	
"Kuwait"	0	0	0	0	0	
"Kyrgyzstan"	0	0	0	0	0	
"Lebanon"	0	0	0		0	
"Latvia"	0	0	0	0	0	
"Malta"	0	0	0	0	0	
"Moldova, Republic of"	0	0	0		0	
"Morocco"	0	0	0	0	0	
"New Caledonia"	0	0	0	0	0	
"New Zealand"	0	0	0	0	0	
"Nigeria"	0	0	0		0	
"Panama"	0	0	0		0	
"Paraguay"	0				0	
"Peru"	0	0	0	0	0	
"Philippines"	1	0	1	0	0	
"Qatar"		0	0	0	0	
"Saudi Arabia"	1	0	1	0	0	
"Serbia"	0	0	1	0	0	
"Viet Nam"	1	0	0	0	0	
"Syrian Arab Republic"					0	
"United Arab Emirates"	1	1	0	0	0	
"Tunisia"	0	0	0	0	0	
"Macedonia, North"	0	0	0		0	
"Egypt"	0	0	0	1	0	
"Uruguay"	0	0	0	0	0	
"Uzbekistan"	0	1	0	0	0	
"Montenegro"			0			
"Tajikistan"		0				
"Andorra"	0	0	0	0		
"Bangladesh"			0	0		
"Bolivia, Plurinational State of"	0	0		0		
"Myanmar"		0		0		
"Cambodia"	0	0	0			
"Sri Lanka"	0	0	0			
"Congo"		0				
"Cuba"	0					
"Ethiopia"				0		
"Palestine, State of"	0					
"Guatemala"	0	0	0	0		
"Iceland"	0		0	0		
"Côte d'Ivoire"	0		0			
"Libya, State of"			0			
"Macao, China"		0				
"Madagascar"	0			0		
"Mali"	0					
"Mauritius"		0				
"Mongolia"	0					
"Mozambique"				0		
"Oman"		0		0		
"Namibia"			0			
"Nepal"	0		0			
"Nicaragua"		0				
"Zimbabwe"			0			
"Suriname"		0	0			
"Trinidad and Tobago"		0		0		
"Tanzania, United Republic of"		0				
"Burkina Faso"			0			
"Yemen"			0			
