Source,Target,Value
China_cath_poss,NCM,12053.31498
Japan_cath_poss,NCM,3455.752708
"Korea, Republic of_cath_poss",NCM,5759.587846
China_cath_poss,LMO,2933.76
Japan_cath_poss,LMO,408.1536
China_cath_poss,Non-Battery Cathode Products,124683.833
Canada_cath_poss,Non-Battery Cathode Products,4588.562
Japan_cath_poss,Non-Battery Cathode Products,4890.247692
Missing Refined Material Trade,"Korea, Republic of_cath_poss",1621.905846
United States of America_cath_poss,Non-Battery Cathode Products,47751.334
China_ref,China_cath_poss,136659.35
China_ref,Trade to countries with no cathode production or <br /> refined materials not accounted for in trade,47571.274
China_ref,Canada_cath_poss,181.168
China_ref,Japan_cath_poss,938.16
China_ref,"Korea, Republic of_cath_poss",2979.646
China_ref,United States of America_cath_poss,1520.402
Colombia_ref,Trade to countries with no cathode production or <br /> refined materials not accounted for in trade,2761.22
Colombia_ref,Japan_cath_poss,467.68
Colombia_ref,United States of America_cath_poss,21.1
Greece_ref,Trade to countries with no cathode production or <br /> refined materials not accounted for in trade,13823.984
Greece_ref,United States of America_cath_poss,261.016
India_ref,Trade to countries with no cathode production or <br /> refined materials not accounted for in trade,13502.236
India_ref,Canada_cath_poss,788.15
India_ref,"Korea, Republic of_cath_poss",29.618
India_ref,United States of America_cath_poss,1123.684
India_ref,Japan_cath_poss,62.18
Japan_ref,Japan_cath_poss,5456.664
Japan_ref,Trade to countries with no cathode production or <br /> refined materials not accounted for in trade,8592.926
Japan_ref,China_cath_poss,400.288
Japan_ref,"Korea, Republic of_cath_poss",654.202
Japan_ref,United States of America_cath_poss,2772.156
Japan_ref,Canada_cath_poss,0.764
Spain_ref,Trade to countries with no cathode production or <br /> refined materials not accounted for in trade,9121.282
Spain_ref,United States of America_cath_poss,703.376
Spain_ref,Canada_cath_poss,0.512
United States of America_ref,United States of America_cath_poss,24999.688
United States of America_ref,Trade to countries with no cathode production or <br /> refined materials not accounted for in trade,4008.508
United States of America_ref,Canada_cath_poss,2422.462
United States of America_ref,China_cath_poss,81.922
United States of America_ref,Japan_cath_poss,0.532
United States of America_ref,"Korea, Republic of_cath_poss",176.888
Trade from countries with no refining,Canada_cath_poss,1195.506
Trade from countries with no refining,China_cath_poss,2529.348
Trade from countries with no refining,"Korea, Republic of_cath_poss",297.328
Trade from countries with no refining,United States of America_cath_poss,16349.912
Trade from countries with no refining,Japan_cath_poss,1828.938
China_ref_poss,China_ref,189850
Colombia_ref_poss,Colombia_ref,3250
Greece_ref_poss,Greece_ref,14085
India_ref_poss,India_ref,542
Japan_ref_poss,Japan_ref,17877
Spain_ref_poss,Spain_ref,8126
United States of America_ref_poss,United States of America_ref,31690
